session_date,contract,dir,signal_from_utc,entry_utc,exit_utc,prior_move_pts,entry_px,exit_px,points,gross_usd,net_usd,cum_gross,cum_net
2012-03-29,201205,LONG,2012-03-29 02:00:00+00:00,2012-03-29 04:00:00+00:00,2012-03-29 06:00:00+00:00,-0.03,31.985,32.07,0.085,85.0,53.8,13970.0,-8275.6
2012-03-30,201205,LONG,2012-03-29 22:00:00+00:00,2012-03-30 00:00:00+00:00,2012-03-30 02:00:00+00:00,-0.05,32.205,32.32,0.115,115.0,83.8,14085.0,-8191.8
2012-03-30,201205,LONG,2012-03-30 02:00:00+00:00,2012-03-30 04:00:00+00:00,2012-03-30 06:00:00+00:00,-0.065,32.255,32.275,0.02,20.0,-11.2,14105.0,-8203.0
2012-04-02,201205,LONG,2012-04-01 22:00:00+00:00,2012-04-02 00:00:00+00:00,2012-04-02 02:00:00+00:00,-0.03,32.48,32.45,-0.03,-30.0,-61.2,14075.0,-8264.2
2012-04-02,201205,LONG,2012-04-02 02:00:00+00:00,2012-04-02 04:00:00+00:00,2012-04-02 06:00:00+00:00,-0.01,32.44,32.515,0.075,75.0,43.8,14150.0,-8220.4
2012-04-03,201205,SHORT,2012-04-02 22:00:00+00:00,2012-04-03 00:00:00+00:00,2012-04-03 02:00:00+00:00,0.025,33.005,33.02,-0.015,-15.0,-46.2,14135.0,-8266.6
2012-04-03,201205,SHORT,2012-04-03 02:00:00+00:00,2012-04-03 04:00:00+00:00,2012-04-03 06:00:00+00:00,0.01,33.03,33.025,0.005,5.0,-26.2,14140.0,-8292.8
2012-04-04,201205,LONG,2012-04-03 22:00:00+00:00,2012-04-04 00:00:00+00:00,2012-04-04 02:00:00+00:00,-0.035,32.61,32.325,-0.285,-285.0,-316.2,13855.0,-8609.0
2012-04-04,201205,SHORT,2012-04-04 02:00:00+00:00,2012-04-04 04:00:00+00:00,2012-04-04 06:00:00+00:00,0.045,32.37,32.395,-0.025,-25.0,-56.2,13830.0,-8665.2
2012-04-05,201205,LONG,2012-04-04 22:00:00+00:00,2012-04-05 00:00:00+00:00,2012-04-05 02:00:00+00:00,-0.02,31.355,31.38,0.025,25.0,-6.2,13855.0,-8671.4
2012-04-05,201205,SHORT,2012-04-05 02:00:00+00:00,2012-04-05 04:00:00+00:00,2012-04-05 06:00:00+00:00,0.04,31.42,31.58,-0.16,-160.0,-191.2,13695.0,-8862.6
2012-04-09,201205,LONG,2012-04-08 22:00:00+00:00,2012-04-09 00:00:00+00:00,2012-04-09 02:00:00+00:00,-0.17,31.87,31.72,-0.15,-150.0,-181.2,13545.0,-9043.8
2012-04-09,201205,SHORT,2012-04-09 02:00:00+00:00,2012-04-09 04:00:00+00:00,2012-04-09 06:00:00+00:00,0.08,31.8,31.895,-0.095,-95.0,-126.2,13450.0,-9170.0
